Tue Nov 24 09:22:40 2009

Project path: C:\MentorData\CentralLib\Templates\Layout\4 Layer Template_1\keyin.icdb

Constraints definition "CUSTOM_DESCRIPTION" added.
Constraints definition "CUSTOM_VALUE" added.
Constraints definition "CE2PLANECONDUCTOR" added (default value: 254000).
Constraints definition "CE2CE" added (default value: 254000).
Constraints definition "DSN_CON_AUTO_CONTROL" added (default value: 0).
Constraints definition "SIM_DELAY_MATCH_TO" added (default value: (None)).
Constraints definition "CMH2PC" deleted.
Constraints definition "TOPO_PIN_NUMBER" levels updated.
Constraints definition "TOPO_PIN_NET" levels updated.
Constraints definition "TOPO_PIN_MODEL" levels updated.
Constraints definition "TOPO_ASSIGN_PIN_GROUP" levels updated.
Constraints definition "TOPO_PINSET_TYPE" levels updated.
Constraints definition "TOPO_PINSET_PINS" levels updated.
Constraints definition "TOPO_NET_ECLASS" levels updated.
Constraints definition "TOPO_NET_PCLASS" levels updated.
Constraints definition "TOPO_XTALK" levels updated.
Constraints definition "TOPO_XTALK_STATE" levels updated.
Constraints definition "TOPO_CSET" levels updated.
Constraints definition "TOPO_DESC" levels updated.
Constraints definition "TOPO_BOUNDARY_PINS" levels updated.
Constraints definition "TOPO_USERDEFINED" levels updated.
Constraints definition "TOPO_PIN_GROUP" levels updated.
Constraints definition "TOPO_ORIG_NAME" levels updated.
Constraints definition "TOPO_DEVICE" levels updated.
Constraints definition "TOPO_MODEL" levels updated.
Constraints definition "TOPO_VALUE" levels updated.
Constraints definition "TOPO_PIN_TYPE" levels updated.
Constraints definition "ORDER_TYPE" levels updated.
Constraints definition "TOPO_ORDERED" levels updated.
Constraints definition "EXT_LAYER_LENGTH" levels updated.
Constraints definition "INT_LAYER_LENGTH" levels updated.
Constraints definition "FT_LAYER" levels updated.
Constraints definition "FT_TRACE_WIDTH" levels updated.
Constraints definition "DELAY_TYPE" levels updated.
Constraints definition "MIN_DELAY" levels updated.
Constraints definition "MAX_DELAY" levels updated.
Constraints definition "MATCH_GROUP" levels updated.
Constraints definition "MATCH_TOLERANCE" levels updated.
Constraints definition "COMPLEX_FORMULA" levels updated.
Constraints definition "MAX_STATIC_LO_OVERSHOOT" levels updated.
Constraints definition "MAX_STATIC_HI_OVERSHOOT" levels updated.
Constraints definition "MAX_DYN_LO_OVERSHOOT" levels updated.
Constraints definition "MAX_DYN_HI_OVERSHOOT" levels updated.
Constraints definition "MAX_HIGH_RINGBACK" levels updated.
Constraints definition "MAX_LOW_RINGBACK" levels updated.
Constraints definition "MONOTONIC_EDGE" levels updated.
Constraints definition "IMPEDANCE" levels updated.
Constraints definition "IMPEDANCE_TOL" levels updated.
Constraints definition "SIM_SETTINGS" levels updated.
Constraints definition "SIM_STIM" levels updated.
Constraints definition "SIM_DELAY_TYPE" levels updated.
Constraints definition "SIM_MIN_DELAY" levels updated.
Constraints definition "SIM_MAX_DELAY" levels updated.
Constraints definition "SIM_MAX_RANGE" levels updated.
Constraints definition "SIM_DELAY_MATCH" levels updated.
Constraints definition "SIM_DELAY_OFFSET" levels updated.
Constraints definition "SIM_MATCH_TOL" levels updated.
Constraints definition "DP_TOL" levels updated.
Constraints definition "DP_CDT" levels updated.
Constraints definition "DP_MDC" levels updated.
Constraints definition "DP_MSD" levels updated.
Constraints definition "DP_IMPEDANCE" levels updated.
Constraints definition "DP_IMPEDANCE_TOL" levels updated.
Constraints definition "IO_STANDARD" levels updated.
Constraints definition "RB_DATA" levels updated.
Constraints definition "RB_REMAP_CL_DEF" levels updated.
Constraints definition "RB_REMAP_DEF_INS" levels updated.
Constraints definition "TEMPLATE" levels updated.
Constraints definition "TEMPLATE_STATUS" levels updated.
Constraints definition "TPC2TPC" levels updated.
Constraints definition "TPC2TPE" levels updated.
Constraints definition "TPC2CTP" levels updated.
Constraints definition "HLT_POWER_SCALING_FACT" levels updated.
Constraints definition "HLT_THETA_JC" levels updated.
Constraints definition "HLT_JUNCTION_TACT" levels updated.
Constraints definition "Z_TRACE_TO_TRACE" parents updated.
Constraints definition "Z_TRACE_TO_PAD" parents updated.
Constraints definition "Z_TRACE_TO_VIA" parents updated.
Constraints definition "Z_TRACE_TO_PLANE" parents updated.
Constraints definition "Z_SMDPAD_TO_TRACE" parents updated.
Constraints definition "SIM_DELAY_MATCH" parents updated.
Constraints definition "SIM_DELAY_OFFSET" parents updated.
Constraints definition "RB_DATA" parents updated.
Constraints definition "RB_REMAP_CL_DEF" parents updated.
Constraints definition "RB_REMAP_DEF_INS" parents updated.
Constraints definition "REUSE_BLOCK_TMP_ID" parents updated.
Constraints definition "MULTIPLE_VIA_VALUE" parents updated.
Constraints definition "TPC2TPC" parents updated.
Constraints definition "TPC2CSP" parents updated.
Constraints definition "HLT_POWER_SCALING_FACT" parents updated.
Constraints definition "HLT_THETA_JC" parents updated.
Constraints definition "HLT_CASING_TLIMIT" parents updated.
Constraints definition "HLT_JUNCTION_TLIMIT" parents updated.
Constraints definition "HLT_CASING_TACT" parents updated.
Constraints definition "HLT_JUNCTION_TACT" parents updated.
