
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
ESP32W                           J1                                35   1      1   1   1 1           1 0 GND                 (20-0-0)
ESP32W                           J1                                35   1      2   2   1 2           2 0 +3.3V               (74-0-0)
ESP32W                           J1                                35   1      3   3   1 3           3 0 CH_EN               (99-0-0)
ESP32W                           J1                                35   1      4   4   1 4           4 0                     (0-0-0)
ESP32W                           J1                                35   1      5   5   1 5           5 0                     (0-0-0)
ESP32W                           J1                                35   1      6   6   1 6           6 0                     (0-0-0)
ESP32W                           J1                                35   1      7   7   1 7           7 0 LIS_SDA             (114-0-0)
ESP32W                           J1                                35   1      8   8   1 8           8 0 LIS_SCL             (115-0-0)
ESP32W                           J1                                35   1      9   9   1 9           9 0 ADC                 (101-0-0)
ESP32W                           J1                                35   1     10  10   1 10         10 0 GPIO25              (131-0-0)
ESP32W                           J1                                35   1     11  11   1 11         11 0 GPIO26              (130-0-0)
ESP32W                           J1                                35   1     12  12   1 12         12 0 GPIO27              (129-0-0)
ESP32W                           J1                                35   1     13  13   1 13         13 0 GPIO14              (132-0-0)
ESP32W                           J1                                35   1     14  14   1 14         14 0 N10488001           (128-0-0)
ESP32W                           J1                                35   1     15  15   1 15         15 0 GND                 (20-0-0)
ESP32W                           J1                                35   1     16  16   1 16         16 0                     (0-0-0)
ESP32W                           J1                                35   1     17  17   1 17         17 0                     (0-0-0)
ESP32W                           J1                                35   1     18  18   1 18         18 0                     (0-0-0)
ESP32W                           J1                                35   1     19  19   1 19         19 0                     (0-0-0)
ESP32W                           J1                                35   1     20  20   1 20         20 0                     (0-0-0)
ESP32W                           J1                                35   1     21  21   1 21         21 0                     (0-0-0)
ESP32W                           J1                                35   1     22  22   1 22         22 0                     (0-0-0)
ESP32W                           J1                                35   1     23  23   1 23         23 0 GPIO15              (100-0-0)
ESP32W                           J1                                35   1     24  24   1 24         24 0                     (0-0-0)
ESP32W                           J1                                35   1     25  25   1 25         25 0 GPIO0               (86-0-0)
ESP32W                           J1                                35   1     26  26   1 26         26 0 BTCHK               (93-0-0)
ESP32W                           J1                                35   1     27  27   1 27         27 0                     (0-0-0)
ESP32W                           J1                                35   1     28  28   1 28         28 0                     (0-0-0)
ESP32W                           J1                                35   1     29  29   1 29         29 0 MOSFON              (92-0-0)
